CODIGO;ORD;RUBRO;PRECIO;NEW;CARPETA;EAN;LINEA1;LINEA2;LINEA3;LINEA4
D-AU315-BK;;Auriculares;25500;;FOTOS1;'7799199014822;Auricular Inalámbrico Plegableá;Manos libres, Versión BT: 5.4;Impedancia 16 ohms, 20Hz-20kHz;22 horas de uso aprox.
D-AU401;;Auriculares;22900;;FOTOS1;'7798019954652;Auriculares Gamer Hunterspider M180 Pro Led Pc Play;Conector jack 3.5mm de 4 secciones + USB;Altavoz de 50mm que ofrece sonido envolvente.;Micrófono omnidireccional con sensibilidad de -42 dB.
D-AU402;;Auriculares;15900;;FOTOS1;'7798019954669;Auricular Vincha Daihatsu C/ Microfono;Cable de 2 m;Modo manos libres que permite llamadas;Micrófono flexible
D-AU512-BK;;Auriculares;14900;;FOTOS1;'7798019955414;Auricular In-Ear;Alcance: 10 metros;Tiempo de uso: 2-3 horas aprox.;Entrada: DC5V
D-AU513-BK;;Auriculares;15900;;FOTOS1;'7798019955415;Auricular In-Ear;Alcance: 10 metros;Tiempo de uso: 2-3 horas aprox.;Entrada: DC5V
D-AU515-BK;;Auriculares;19900;;FOTOS1;'7798019955417;Auricular In-Ear;Alcance: 10 metros;Tiempo de uso: 2-3 horas aprox.;Entrada: DC5V
D-AU516-BK;;Auriculares;16900;;FOTOS1;'7798019955417;Auricular Bluetooth In-ear;Alcance: 10 metros;Tiempo de uso: 4 horas aprox.;Entrada: DC5V
D-AU517-BK;;Auriculares;19900;;FOTOS1;'7798019955417;Auricular Bluetooth In-ear;Alcance: 10 metros;Tiempo de uso: 4 horas aprox.;Entrada: DC5V
D-AU518-BK;;Auriculares;19900;;FOTOS1;'7798019955417;Auricular Bluetooth In-ear;Alcance: 10 metros;Tiempo de uso: 4 horas aprox.;Entrada: DC5V
D-AU519-WE;;Auriculares;17900;;FOTOS1;'7798019955417;Auricular In-Ear;Alcance: 10 metros;Tiempo de uso: 2-3 horas aprox.;Entrada: DC5V
AX-120B;;Calculadoras Casio;27500;;FOTOS1;;Calculadora de Escritorio CASIO;12 dígitos;Medidas: 175x110,5x25mm;Solar y a Pila
DX-12B-BK;;Calculadoras Casio;27500;;FOTOS1;;Calculadora de Escritorio CASIO;12 dígitos;Medidas: 175x129,5x33mm;Solar y a Pila
FX-570ESPLUS2;;Calculadoras Casio;56500;;FOTOS1;;Calculadora científica CASIO;10+2 dígitos - 417 funciones;Medidas: 161,5x77x13,8mm;Pila 
FX-570ESPLUS2BU;;Calculadoras Casio;56500;;FOTOS1;;Calculadora científica CASIO;10+2 dígitos - 417 funciones;Medidas: 161,5x77x13,8mm;Pila 
FX-570ESPLUS2PK;;Calculadoras Casio;56500;;FOTOS1;;Calculadora científica CASIO;10+2 dígitos - 417 funciones;Medidas: 161,5x77x13,8mm;Pila 
FX-570LAC-W;;Calculadoras Casio;AGOTADO;;FOTOS1;;Calculadora científica programable CASIO;10+2 dígitos - 2900 funciones;Medidas: 188,5x89x18,6mm;Pila 
FX-82ESPLUS2;;Calculadoras Casio;34500;;FOTOS1;;Calculadora científica CASIO;10+2 dígitos - 252 funciones;Medidas: 161,5x77x13,8mm;Pila 
FX-82ESPLUS2-BU;;Calculadoras Casio;34500;;FOTOS1;;Calculadora científica CASIO;10+2 dígitos - 252 funciones;Medidas: 161,5x77x13,8mm;Pila 
FX-82ESPLUS2-PK;;Calculadoras Casio;34500;;FOTOS1;;Calculadora científica CASIO;10+2 dígitos - 252 funciones;Medidas: 161,5x77x13,8mm;Pila 
FX-82LACW-W;;Calculadoras Casio;45500;;FOTOS1;;Calculadora científica CASIO;;;
FX-82LAPLUS2-BU;;Calculadoras Casio;34500;;FOTOS1;;Calculadora científica CASIO;10+2 dígitos - 252 funciones;Medidas: 161,5x77x13,8mm;Pila 
FX-82LAPLUS2-PK;;Calculadoras Casio;34500;;FOTOS1;;Calculadora científica CASIO;10+2 dígitos - 252 funciones;Medidas: 161,5x77x13,8mm;Pila 
FX-82MS-2;;Calculadoras Casio;29500;;FOTOS1;;Calculadora científica CASIO;;;
FX-95ESPLUS2;;Calculadoras Casio;40500;;FOTOS1;;Calculadora científica CASIO;10+2 dígitos - 274 funciones;Medidas: 161,5x77x13,8mm;Pila 
FX-95MS-2;;Calculadoras Casio;37500;;FOTOS1;;Calculadora científica CASIO;;;
FX-991ESPLUS2;;Calculadoras Casio;63500;;FOTOS1;;Calculadora científica CASIO;10+2 dígitos - 274 funciones;Medidas: 161,5x77x11,1mm;Pila y solar
FX-991ESPLUS2BU;;Calculadoras Casio;63500;;FOTOS1;;Calculadora científica CASIO;10+2 dígitos - 274 funciones;Medidas: 161,5x77x11,1mm;Pila y solar
FX-991ESPLUS2PK;;Calculadoras Casio;63500;;FOTOS1;;Calculadora científica CASIO;10+2 dígitos - 274 funciones;Medidas: 161,5x77x11,1mm;Pila y solar
GX-12B-BK;;Calculadoras Casio;34500;;FOTOS1;;Calculadora de Escritorio CASIO;12 dígitos;Medidas: 207,5x159,5x34mm;Solar y a Pila
GX-12B-WE;;Calculadoras Casio;34500;;FOTOS1;;Calculadora de Escritorio CASIO;12 dígitos;Medidas: 207,5x159,5x34mm;Solar y a Pila
HR-100RC;;Calculadoras Casio;107500;;FOTOS1;;Calculadora con Impresor CASIO;12 dígitos - 2 colores - 2.0 líneas por seg.;Medidas: 295x165x64,6mm;Pila o Fuente (No Incluida)
HR-150RC;;Calculadoras Casio;145500;;FOTOS1;;Calculadora con Impresor CASIO;12 dígitos - 2 colores - 2.0 líneas por seg.;Medidas: 313x195x64,6mm;Pila o Fuente (No Incluida)
HR-8RC-BK;;Calculadoras Casio;82500;;FOTOS1;;Calculadora con Impresor CASIO;12 dígitos - 1.6 líneas por seg.;Medidas: 208x102x42mm;Pila o Fuente (No Incluida)
HR-8RC-WE;;Calculadoras Casio;82500;;FOTOS1;;Calculadora con Impresor CASIO;12 dígitos - 1.6 líneas por seg.;Medidas: 208x102x42mm;Pila o Fuente (No Incluida)
LC-160LV-BK;;Calculadoras Casio;6500;;FOTOS1;;Calculadora de Bolsillo CASIO;8 dígitos, con Tapa;Medidas: 87x117,5x8mm;Pila
LC-160LV-WE;;Calculadoras Casio;6500;;FOTOS1;;Calculadora de Bolsillo CASIO;8 dígitos, con Tapa;Medidas: 87x117,5x8mm;Pila
MS-120FM;;Calculadoras Casio;32500;;FOTOS1;;Calculadora de Escritorio CASIO;12 dígitos;Medidas: 148,5x101x27,6mm;Solar y a Pila
MS-20UC-LB;;Calculadoras Casio;24500;;FOTOS1;;Calculadora de Escritorio CASIO;12 dígitos;Medidas: 149,5x105x22,8mm;Solar y a Pila
MS-20UC-RD;;Calculadoras Casio;24500;;FOTOS1;;Calculadora de Escritorio CASIO;12 dígitos;Medidas: 149,5x105x22,8mm;Solar y a Pila
MS-20UC-WE;;Calculadoras Casio;24500;;FOTOS1;;Calculadora de Escritorio CASIO;12 dígitos;Medidas: 149,5x105x22,8mm;Solar y a Pila
