CODIGO;ORD;RUBRO;PRECIO;NEW;CARPETA;EAN;LINEA1;LINEA2;LINEA3;LINEA4
ML-BA888X2;;Handies Baofeng;38900;;FOTOS2;;Handy Baofeng Radio Walkie x 2;Frecuencia: UHF 400-470MHz. 16 canales.;Alcance: 3 a 5km en ciudad / 5 a 10km en campo abierto;Alimentación:  Batería: 1500mAh Li-ion. Autonomía: 8hs aprox
ML-BAA58S;;Handies Baofeng;79900;;FOTOS2;;Handy Baofeng Radio Walkie x 2;"Frecuencia:  tribanda (VHF: 136-174 MHz, 220-260 MHz; UHF: 400-480 MHz)";Alcance: 10km;Alimentación:  Batería: 2800mAh Li-ion. Autonomía: 8hs aprox
ML-BAK5PLU;;Handies Baofeng;129900;;FOTOS2;;Handy Baofeng Radio Walkie x 2;Frecuencia: UHF 400-520MHz. 999 canales.;Alcance: 15km;Alimentación:  Batería: 2500mAh Li-ion. Autonomía: 8hs aprox
ML-BAK6;;Handies Baofeng;84900;;FOTOS2;;Handy Baofeng Radio Walkie x 2;"Frecuencia:  tribanda (VHF: 136-174 MHz, 220-260 MHz; UHF: 400-480 MHz)";Alcance: 15km;Alimentación:  Batería: 2600mAh Li-ion. Autonomía: 8hs aprox
ML-BA-T3X2;;Handies Baofeng;27900;;FOTOS2;;Handy Baofeng Radio Walkie x 2;Frecuencia: UHF 446 mhz;Alcance: 2km;Alimentación 4 x AAA.
ML-BAT888S;;Handies Baofeng;4500;;FOTOS2;;Batería para el modelo BA888;;;
ML-BAUV17L;;Handies Baofeng;114900;;FOTOS2;;Handy Baofeng Radio Walkie x 2;Frecuencia: UHF 400-520MHz. 999 canales.;Alcance: 15km;Alimentación:  Batería: 1800mAh Li-ion. Autonomía: 8hs aprox
ML-BAUV5R5;;Handies Baofeng;79900;;FOTOS2;;Handy Baofeng Radio Walkie x 2;Frecuencia: 136 ~ 174MHz VHF/UHF 400 ~ 520MHz. 128 canales;Alcance: 10km;Alimentación:  Batería: 1800mAh Li-ion. Autonomía: 10hs aprox
ML-BAUV5R8;;Handies Baofeng;89900;;FOTOS2;;Handy Baofeng Radio Walkie x 2;Frecuencia: 136 ~ 174MHz VHF/UHF 400 ~ 520MHz. 128 canales;Alcance: 13km;Alimentación:  Batería: 1800mAh Li-ion. Autonomía: 10hs aprox
ML-BAUV82;;Handies Baofeng;49900;;FOTOS2;;Handy Baofeng Radio Walkie x 1;Frecuencia: BIBANDA VHF/UHF. 136 ~ 174MHz / 400 ~ 520MHz - 128 Canales;;Alimentación: Batería 7.4V 2800mAh
ML-BAUV822;;Handies Baofeng;97900;;FOTOS2;;Handy Baofeng Radio Walkie x 2;Frecuencia: BIBANDA VHF/UHF. 136 ~ 174MHz / 400 ~ 520MHz - 128 Canales;;Alimentación: Batería 7.4V 2800mAh
D-INV1000;;Inversores;59900;;FOTOS1;;Inversor Conversor De Corriente 1000w Para Autos 12v A 220v;Voltaje mínimo: de salida: 110V, de entrada: 12V;Voltaje máximo: de entrada: 24v, de salida: 220v;Peso: 900g
D-INV1500;;Inversores;74900;;FOTOS1;;Inversor Conversor De Corriente 1500w Para Autos 12v A 220v;Voltaje mínimo: de salida: 110V, de entrada: 12V;Voltaje máximo: de entrada: 24v, de salida: 220v;Peso: 900g
D-INV2000;;Inversores;96900;;FOTOS1;;Inversor Conversor De Corriente 2000w Para Autos 12v A 220v;Voltaje mínimo: de salida: 110V, de entrada: 12V;Voltaje máximo: de entrada: 24v, de salida: 220v;Peso: 900g
D-INV500;;Inversores;40900;;FOTOS1;;Inversor Conversor De Corriente 500w Para Autos 12v A 220v;Voltaje mínimo: de salida: 110V, de entrada: 12V;Voltaje máximo: de entrada: 24v, de salida: 220v;Peso: 750g
D-MC12;;Máquina de Coser;63900;;FOTOS1;'7799199016062;Máquina de coser 12 puntadas;Velocidad ajustable;Costura hacia adelante y hacia atrás;áEnhebrado automático
D-V100-BK;10;Monopatines;629900;SI;FOTOS1;'7799199015775;"Monopatín Scooter Eléctrico V100 350W Rodado 8.5"" | Negro";Motor 36v / 350W, Batería 36v / 7,5Ah;Autonomía 18-22Km, Vel.Máx. 30Km/h;Frenos Eléctrico+Disco, Suspensión NO
D-V100-WE;10;Monopatines;629900;SI;FOTOS1;'7799199015775;"Monopatín Scooter Eléctrico V100 350W Rodado 8.5"" | Blanco";Motor 36v / 350W, Batería 36v / 7,5Ah;Autonomía 18-22Km, Vel.Máx. 30Km/h;Frenos Eléctrico+Disco, Suspensión NO
D-V101-BK;10;Monopatines;679900;SI;FOTOS1;'7799199015829;"Monopatín Scooter Eléctrico V101 350W Rodado 10"" | Negro";Motor 36v / 350W, Batería 36v / 7,5Ah;Autonomía 18-22Km, Vel.Máx. 30Km/h;Frenos Eléctrico+Disco, Suspensión NO
D-V102-BK;10;Monopatines;899900;SI;FOTOS1;'7799199015836;"Monopatín Scooter Eléctrico V102 350W Rodado 10"" | Negro";Motor 36v / 350W, Batería 36v / 10Ah;Autonomía 20-30Km, Vel.Máx. 30Km/h;Frenos Eléctrico+Disco, Suspensión Delantera y Trasera
D-V200-BK;10;Monopatines;1049900;SI;FOTOS1;'7799199015805;"Monopatín Scooter Eléctrico V200 500W Rodado 10"" | Negro";Motor 36v / 500W, Batería 36v / 15Ah;Autonomía 30-45Km, Vel.Máx. 35Km/h;Frenos Eléctrico+de tambor, Suspensión Delantera
D-V200-GY;10;Monopatines;1049900;SI;FOTOS1;'7799199015805;"Monopatín Scooter Eléctrico V200 500W Rodado 10"" | Gris";Motor 36v / 500W, Batería 36v / 15Ah;Autonomía 30-45Km, Vel.Máx. 35Km/h;Frenos Eléctrico+de tambor, Suspensión Delantera
D-V300-BK;10;Monopatines;1599900;SI;FOTOS1;;"Monopatín Scooter Eléctrico V300 800W Rodado 10"" | Negro";Motor 48v / 800W, Batería 48v / 18Ah;Autonomía 30-65Km, Vel.Máx. 45Km/h;Frenos Dual Disco, Suspensión Delantera y Trasera
D-V301-BK;10;Monopatines;2099900;SI;FOTOS1;;"Monopatín Scooter Eléctrico V301 DUAL MOTOR 1600W Rodado 10"" | Negro";Motor 48v / 800+800W, Batería 48v / 18Ah;Autonomía 30-65Km, Vel.Máx. 50Km/h;Frenos Dual Disco, Suspensión Delantera y Trasera
D-BAT-V100;20;Monopatines;208000;;FOTOS1;;Repuesto de Bateria de Monopatin V100;;;
D-BAT-V101;20;Monopatines;208000;;FOTOS1;;Repuesto de Bateria de Monopatin V101;;;
D-BAT-V102;20;Monopatines;292000;;FOTOS1;;Repuesto de Bateria de Monopatin V102;;;
D-BAT-V200;20;Monopatines;585000;;FOTOS1;;Repuesto de Bateria de Monopatin V200;;;
D-BAT-V300;20;Monopatines;338000;;FOTOS1;;Repuesto de Bateria de Monopatin V300;;;
D-BAT-V301;20;Monopatines;533000;;FOTOS1;;Repuesto de Bateria de Monopatin V301;;;
D-RUE-V100;30;Monopatines;32500;;FOTOS1;;Repuesto de Rueda de Monopatin V100;;;
D-RUE-V101;30;Monopatines;32500;;FOTOS1;;Repuesto de Rueda de Monopatin V101;;;
D-RUE-V102;30;Monopatines;39000;;FOTOS1;;Repuesto de Rueda de Monopatin V102;;;
D-RUE-V200;30;Monopatines;39000;;FOTOS1;;Repuesto de Rueda de Monopatin V200;;;
D-RUE-V300;30;Monopatines;52000;;FOTOS1;;Repuesto de Rueda de Monopatin V300;;;
ML-ORG01B;;Organizadores;37900;;FOTOS2;;Carrito Organizador Multiuso de Tres estantes con Ruedas;Alto: 86cm, Ancho 41cm, Profundidad: 38cm;Soporta hasta 45kg;
ML-ORG02B;;Organizadores;27900;;FOTOS2;;Carrito Organizador de Tres niveles con Ruedas;Alto: 63cm, Ancho: 40cm, Profndidad: 12cm;Soporta hasta 19kg;
ML-ORG03W;;Organizadores;27900;;FOTOS2;;Organizador Sobre Inodoro de Tres Niveles;Alto: 166cm, Ancho: 47cm, Profundidad: 25cm;;
ML-ORG04B;;Organizadores;21900;;FOTOS2;;Mueble de Entrada Zapatero y Perchero;Alto: 170cm, Ancho: 60cm, Profundidad: 26cm;Color Negro;
ML-ORG04W;;Organizadores;21900;;FOTOS2;;Mueble de Entrada Zapatero y Perchero;Alto: 170cm, Ancho: 60cm, Profundidad: 26cm;Color Blanco;
ML-ORG05B;;Organizadores;12900;;FOTOS2;;Organizador de Zapatos de Cuatro Niveles;Alto: 50cm, Ancho: 57cm, Profundidad: 20cm;Color Negro;
ML-ORG05W;;Organizadores;12900;;FOTOS2;;Organizador de Zapatos de Cuatro Niveles;Alto: 50cm, Ancho: 57cm, Profundidad: 20cm;Color Blanco;
ML-ORG06B;;Organizadores;15900;;FOTOS2;;Organizador de Zapatos de Cinco Niveles;Alto: 65.5cm, Ancho: 57cm, Profundidad: 20cm;Color Negro;
ML-ORG09S;;Organizadores;29900;;FOTOS2;;Organizador de Zapatos Metalizado de Cuatro Niveles;Alto: 68cm, Ancho: 61cm, Profundidad: 23cm;Color Metalizado;
ML-ORG10B;;Organizadores;12900;;FOTOS2;;Organizador de Zapatos de Tres Niveles;Alto: 43cm, Ancho: 46cm, Profundidad: 23cm;Colores: Blanco y Negro;
ML-ORG10P;;Organizadores;12900;;FOTOS2;;Organizador de Zapatos de Tres Niveles;Alto: 43cm, Ancho: 46cm, Profundidad: 23cm;Colores: Blanco y Rosa;
ML-ORG11B;;Organizadores;15900;;FOTOS2;;Organizador de Zapatos de Cuatro Niveles;Alto: 58cm, Ancho: 46cm, Profundidad: 23cm;Colores: Blanco y Negro;
ML-ORG11P;;Organizadores;15900;;FOTOS2;;Organizador de Zapatos de Cuatro Niveles;Alto: 58cm, Ancho: 46cm, Profundidad: 23cm;Colores: Blanco y Rosa;
ML-ORG12B;;Organizadores;14900;;FOTOS2;;Organizador de Zapatos Moderno de Cuatro Niveles;Alto: 80cm, Ancho: 60cm, Profundidad: 30cm;Colores: Metalizado y Negro;
ML-ORG13B;;Organizadores;16900;;FOTOS2;;Organizador de Zapatos Moderno de Cinco Niveles;Alto: 95cm, Ancho: 60cm, Profundidad: 30cm;Colores: Metalizado y Negro;
ML-ORG14B;;Organizadores;11900;;FOTOS2;;Organizador de Zapatos Moderno de Cuatro Niveles;Alto: 78cm, Ancho: 55cm, Profundidad: 26cm;Colores: Metalizado y Negro;
ML-ORG15B;;Organizadores;12900;;FOTOS2;;Organizador de Zapatos Moderno de Cuatro Niveles;Alto: 95cm, Ancho: 55cm, Profundidad: 26cm;Colores: Metalizado y Negro;
ML-ORG17B;;Organizadores;26900;;FOTOS2;;Cesto Clasificador de Ropa Sucia con Ruedas;Alto: 76cm, Ancho: 60cm, Profundidad: 33cm;Materiales: Hierro y Tela Oxford;
ML-ORG18B;;Organizadores;29900;;FOTOS2;;Organizador Multifuncion Movil con Cesto y Estante;Alto: 77cm, Ancho: 57cm, Profundidad: 28cm;Materiales: Hierro y Tela Oxford;
ML-PAR-1;;Paraguas;14900;;FOTOS2;;Paraguas Reversible con Cierre Invertido;Largo: 1,08 metros;Con Estampado Negro;
ML-PAR-10;;Paraguas;14900;;FOTOS2;;Paraguas Reversible con Cierre Invertido;Largo: 1,08 metros;Con Estampado Blanco;
ML-PAR2-BK;;Paraguas;9900;;FOTOS2;;Paraguas Mini Automatico;Largo (plegado): 29cm, Diametro: 1 metro;Color: Negro;
ML-PAR2-GN;;Paraguas;9900;;FOTOS2;;Paraguas Mini Automatico;Largo (plegado): 29cm, Diametro: 1 metro;Color: Verde;
ML-PAR2-PK;;Paraguas;9900;;FOTOS2;;Paraguas Mini Automatico;Largo (plegado): 29cm, Diametro: 1 metro;Color: Rosa;
ML-PAR3-BU;;Paraguas;10900;;FOTOS2;;Paraguas Tipo Golf con Mango de Goma;Largo: 1 metro, Diametro: 1.20 metros;Color: Azul;
ML-PAR-4;;Paraguas;14900;;FOTOS2;;Paraguas Reversible con Cierre Invertido;Largo: 1,08 metros;Color: Fucsia;
ML-PAR4-BK;;Paraguas;14900;;FOTOS2;;Paraguas Automatico con Luz Led;Largo (plegado): 34cm, Diametro: 1.04 metros;Color: Negro;
ML-PAR4-GN;;Paraguas;14900;;FOTOS2;;Paraguas Automatico con Luz Led;Largo (plegado): 34cm, Diametro: 1.04 metros;Color: Verde;
ML-PAR4-LB;;Paraguas;14900;;FOTOS2;;Paraguas Automatico con Luz Led;Largo (plegado): 34cm, Diametro: 1.04 metros;Color: Celeste;
ML-PAR4-PK;;Paraguas;14900;;FOTOS2;;Paraguas Automatico con Luz Led;Largo (plegado): 34cm, Diametro: 1.04 metros;Color: Rosa;
ML-PAR4-RD;;Paraguas;14900;;FOTOS2;;Paraguas Automatico con Luz Led;Largo (plegado): 34cm, Diametro: 1.04 metros;Color: Bordo;
ML-PAR-5;;Paraguas;14900;;FOTOS2;;Paraguas Reversible con Cierre Invertido;Largo: 1,08 metros;Color: Rojo;
ML-PAR-6;;Paraguas;14900;;FOTOS2;;Paraguas Reversible con Cierre Invertido;Largo: 1,08 metros;Color: Azul;
ML-PAR-7;;Paraguas;14900;;FOTOS2;;Paraguas Reversible con Cierre Invertido;Largo: 1,08 metros;Color: Celeste;
ML-PAR-8;;Paraguas;14900;;FOTOS2;;Paraguas Reversible con Cierre Invertido;Largo: 1,08 metros;Con Estampado a Cuadros;
D-S8000BT;;Parlantes;42900;;FOTOS1;'7799199013931;Parlante Bluetooth;Potencia: 2600W PMPO.;Función karaoke: incluye micrófono cableado;Dimensiones: 20,6 x 24,8 x 37,4cm
D-S8010BT;;Parlantes;99900;;FOTOS1;'7799199013948;Parlante Bluetooth;"Potencia: 3800W PMPO con parlante de 8"" y tweeter de 1.5""";Función karaoke: incluye micrófono cableado;Dimensiones: 28,5 x 27,5 x 35,5 cm
D-S8020BT;;Parlantes;169900;;FOTOS1;;Parlante Bluetooth;Potencia: 4000W PMPO, con dos woofers de 8ö y tweeter de 1ö;Función karaoke: incluye micrófono cableado;Dimensiones: 28 x 28 x 82cm
D-S8030BT;;Parlantes;169900;;FOTOS1;;Parlante Bluetooth;"Potencia: 4000W PMPO con configuración de 3 parlantes, incluyendo woofer de 8""";Función karaoke: incluye micrófono cableado;Dimensiones: 28 x 28 x 82 cm
D-S8040BT;;Parlantes;AGOTADO;;FOTOS1;;Parlante Bluetooth;"Potencia: 5000W PMPO con dos parlantes de 8"" y un tweeter de 1""";Función karaoke: incluye micrófono cableado;Dimensiones: 25,5 x 26,5 x 54 cm
D-RK1;;Radios;19900;;FOTOS1;'7798019955284;Radio Portátil Análoga AM/FM;Dimensiones: 6x10x2cm;"Alimentación:  2 pilas ""AA""";Dimensiones: 6x10x2cm
D-RK2;;Radios;19900;;FOTOS1;;Radio Portátil Análoga AM/FM;Dimensiones:13x8x3cm;"Alimentación:  2 pilas ""AA""";Dimensiones:13x8x3cm
D-RK3;;Radios;19900;;FOTOS1;'7798019955307;Radio Portátil Análoga AM/FM;Dimensiones: 12x7x4cm;"Alimentación:  2 pilas ""AA""";Dimensiones: 12x7x4cm
D-RK7;;Radios;19900;;FOTOS1;'7798019950616;Radio Portátil Análoga AM/FM;Dimensiones: 7x12x3cm;"Alimentación:  2 pilas ""AA""";Dimensiones: 7x12x3cm
D-RK9;;Radios;19900;;FOTOS1;'7798019950692;Radio Portátil Análoga AM/FM;Dimensiones: 7x12x3cm;"Alimentación:  2 pilas ""AA""";Dimensiones: 7x12x3c
D-RP38-BK;;Radios;39900;;FOTOS1;'7798019950104;Radio Dual Análoga AM/FM;Dimensiones: 21,90 x 0,73 x 12cm;"Alimentación:  4 pilas ""C"" o 220V";Dimensiones: 21,90 x 0,73 x 12cm
D-RP38-RD;;Radios;39900;;FOTOS1;'7798019955871;Radio Dual Análoga AM/FM;Dimensiones: 21,90 x 0,73 x 12cm;"Alimentación:  4 pilas ""C"" o 220V";Dimensiones: 21,90 x 0,73 x 12cm
D-RP38-WE;;Radios;39900;;FOTOS1;'7798019950081;Radio Dual Análoga AM/FM;Dimensiones: 21,90 x 0,73 x 12cm;"Alimentación:  4 pilas ""C"" o 220V";Dimensiones: 21,90 x 0,73 x 12cm
D-RP400-BK;;Radios;39900;;FOTOS1;;Radio Dual Análoga AM/FM;Dimensiones: 21,50 x 0,69 x 16,2cm;"Alimentación:  4 pilas ""C"" o 220V";Dimensiones: 21,50 x 0,69 x 16,2cm
D-RP400-RD;;Radios;39900;;FOTOS1;'7798019955949;Radio Dual Análoga AM/FM;Dimensiones: 21,50 x 0,69 x 16,2cm;"Alimentación:  4 pilas ""C"" o 220V";Dimensiones: 21,50 x 0,69 x 16,2cm
D-RP400-WE;;Radios;39900;;FOTOS1;;Radio Dual Análoga AM/FM;Dimensiones: 21,50 x 0,69 x 16,2cm;"Alimentación:  4 pilas ""C"" o 220V";Dimensiones: 21,50 x 0,69 x 16,2cm
D-RP50USB;;Radios;27900;;FOTOS1;'7798019951675;Radio Dual Análoga AM/FM;Dimensiones: 18 x14 x 8cm;Linterna LED. NO REPRODUCE POR USB;"Alimentación:  2 pilas ""D"" o Batería 18650mha (INCLUIDA) o Conexión USB (cargador no Incluido) "
D-RP60PROB;;Radios;35900;;FOTOS1;'7799199016086;Radio Dual Análoga AM/FM - Negro;Dimensiones: 15.2x5.3x11cm;Reproduce Bluetooth. Reproduce MP3 por USB;Alimentación:  Batería 18650mha (INCLUIDA) o Conexión USB-C (cargador no Incluido) o Solar
D-RP60PROS;;Radios;35900;;FOTOS1;'7799199016086;Radio Dual Análoga AM/FM - Plateado;Dimensiones: 15.2x5.3x11cm;Reproduce Bluetooth. Reproduce MP3 por USB;Alimentación:  Batería 18650mha (INCLUIDA) o Conexión USB-C (cargador no Incluido) o Solar
D-RP61USB;;Radios;30900;;FOTOS1;;Radio Dual Análoga AM/FM - Negro;Dimensiones: 18 x14 x 8cm;Reproduce Bluetooth. Reproduce MP3 por USB;"Alimentación:  2 pilas ""D"" o Batería 18650mha (INCLUIDA) o Conexión USB (cargador no Incluido) "
D-CS01;;Seguridad;38900;;FOTOS1;;Cámara Seguridad Cs01 Wifi Apto Exterior Visión Nocturna Fhd;Resolución Full HD;Cobertura 360º. Zoom 4x;Conexión WiFi 
D-CS02;;Seguridad;27900;;FOTOS1;;Cámara de Seguridad WiFi IP Full HD Domo;Resolución Full HD;Cobertura 360º. Zoom 4x;Conexión WiFi 
D-CS03;;Seguridad;59900;;FOTOS1;;Cámara De Seguridad Wifi Ip 6mp Exterior Visión Nocturna;Resolución 6MP 4K;Cobertura 360º. Visión nocturna a color;Conexión WiFi o cable
D-GA5-BU;;Sillón Gamer;149900;;FOTOS1;;Silla Gamer D-GA5 | Azul;Material: Cuero/PVC;Apoyabrazos fijom Elevador de gas;Base y Ruedas de nylon
D-GA5-GN;;Sillón Gamer;149900;;FOTOS1;;Silla Gamer D-GA5 | Verde;Material: Cuero/PVC;Apoyabrazos fijom Elevador de gas;Base y Ruedas de nylon
D-GA5-GY;;Sillón Gamer;149900;;FOTOS1;;Silla Gamer D-GA5 | Gris;Material: Cuero/PVC;Apoyabrazos fijom Elevador de gas;Base y Ruedas de nylon
D-GA5-RD;;Sillón Gamer;149900;;FOTOS1;;Silla Gamer D-GA5 | Rojo;Material: Cuero/PVC;Apoyabrazos fijom Elevador de gas;Base y Ruedas de nylon
D-GA5-WE;;Sillón Gamer;149900;;FOTOS1;;Silla Gamer D-GA5 | Blanco;Material: Cuero/PVC;Apoyabrazos fijom Elevador de gas;Base y Ruedas de nylon
D-SOP3275;;Soportes TV;50900;;FOTOS1;;Soporte TV Doble Brazo Reforzado;Para tama±os de pantalla:  Desde 32 - 75 Pulgadas;Estándares VESA: 400x400;Inclinable, Articulado y Giratorio
D-SOPSL;;Soportes TV;37900;;FOTOS1;;Soporte Antena Star Link Mini Auto Viaje Sopapa Para Vidrios;Dimensiones: 33 x 40cm;;
D-CE18-BU;;Tiempo Libre;199900;;FOTOS2;;Cama Elástica Saltarina Reforzada 1,80 mts;Altura total: 2,15 m;Altura de la cama al piso: 55 cm;Altura de la red: 1,60 m
D-CE24-BU;;Tiempo Libre;245900;;FOTOS2;;Cama Elástica Saltarina Reforzada 2.44 mts;Altura total: 2,15 m;Altura de la cama al piso: 55 cm;Altura de la red: 1,60 m
ML-BEACH;;Tiempo Libre;25900;;FOTOS2;;Silla Playera;Altura 80cm, Ancho 50cm;Soporta hasta 90Kg;Estructura de Acero con PVC pintado
ML-BEACH2;;Tiempo Libre;25900;;FOTOS2;;Silla Playera;Altura 80cm, Ancho 50cm;Soporta hasta 90Kg;Estructura de Acero con PVC pintado
ML-CARRO02;;Tiempo Libre;99900;;FOTOS2;;Carro Plegable Camping Playa;Dimensiones: 90*53*98cm/ Plegado: 53*19*75cm.;Capacidad de Carga: 80kgs;Rueda de PVC + Estructura de acero
ML-CONS02A;;Tiempo Libre;16900;;FOTOS2;;Conservadora Plegable Portátil;Dimensiones: 39 x 23 x 39cm;Capacidad: 21L;NO ES impermeable. Usar Pack de gel
ML-CONS02B;;Tiempo Libre;16900;;FOTOS2;;Conservadora Plegable Portátil;Dimensiones: 39 x 23 x 39cm;Capacidad: 21L;NO ES impermeable. Usar Pack de gel
ML-CONS02C;;Tiempo Libre;16900;;FOTOS2;;Conservadora Plegable Portátil;Dimensiones: 39 x 23 x 39cm;Capacidad: 21L;NO ES impermeable. Usar Pack de gel
ML-DIREC-A;;Tiempo Libre;22900;;FOTOS2;;Sillón Director Camping Plegable;Altura 80cm, Ancho 50cm, con Portavaso;Soporta hasta 100Kg;Estructura de Acero, Tela Oxford
ML-DIREC-M;;Tiempo Libre;22900;;FOTOS2;;Sillón Director Camping Plegable;Altura 80cm, Ancho 50cm, con Portavaso;Soporta hasta 100Kg;Estructura de Acero, Tela Oxford
ML-DIREC-N;;Tiempo Libre;22900;;FOTOS2;;Sillón Director Camping Plegable;Altura 80cm, Ancho 50cm, con Portavaso;Soporta hasta 100Kg;Estructura de Acero, Tela Oxford
ML-DIREC-R;;Tiempo Libre;22900;;FOTOS2;;Sillón Director Camping Plegable;Altura 80cm, Ancho 50cm, con Portavaso;Soporta hasta 100Kg;Estructura de Acero, Tela Oxford
ML-DIREC-V;;Tiempo Libre;22900;;FOTOS2;;Sillón Director Camping Plegable;Altura 80cm, Ancho 50cm, con Portavaso;Soporta hasta 100Kg;Estructura de Acero, Tela Oxford
ML-GAZ01-A;;Tiempo Libre;215900;;FOTOS2;;Gazebo Con Paredes Plegable;Dimensiones: 3 x 3 x 3.2m;Peso 15Kg;Materiales: Acero, Poliester
ML-GAZ01-R;;Tiempo Libre;215900;;FOTOS2;;Gazebo Con Paredes Plegable;Dimensiones: 3 x 3 x 3.2m;Peso 15Kg;Materiales: Acero, Poliester
ML-GAZ02-A;;Tiempo Libre;159900;;FOTOS2;;Gazebo Plegable;Dimensiones: 3 x 3 x 3.2m;Peso 15Kg;Materiales: Acero, Poliester
ML-GAZ02-R;;Tiempo Libre;159900;;FOTOS2;;Gazebo Plegable;Dimensiones: 3 x 3 x 3.2m;Peso 15Kg;Materiales: Acero, Poliester
ML-GAZ02-W;;Tiempo Libre;159900;;FOTOS2;;Gazebo Plegable;Dimensiones: 3 x 3 x 3.2m;Peso 15Kg;Materiales: Acero, Poliester
ML-HAM01;;Tiempo Libre;31900;;FOTOS2;;Hamaca Paraguaya;Dimensiones: 2,40 x 1,50m;Soporta hasta 180Kg;Material: Algodón
ML-REPO01;;Tiempo Libre;67900;;FOTOS2;;Silla De Jardín;Altura 94cm, Ancho 58cm, Profundidad 64cm, con Apoyabrazos;Soporta hasta 130Kg;Estructura de Acero, Tela Rattan sintético
ML-TENT1-A;;Tiempo Libre;89900;;FOTOS2;;Carpa 4 Personas Autoarmable Automatica;Dimensiones: 2m x 2m x 1,30m;Peso 3Kg;Materiales: Poliester
ML-TENT2-R;;Tiempo Libre;64900;;FOTOS2;;Carpa 4 Personas Autoarmable Automatica;Dimensiones: 2m x 2m x 1,30m;Peso 3Kg;Materiales: Poliester
ML-TENT2-V;;Tiempo Libre;64900;;FOTOS2;;Carpa 4 Personas Autoarmable Automatica;Dimensiones: 2m x 2m x 1,30m;Peso 3Kg;Materiales: Poliester
ML-TENT4-V;;Tiempo Libre;89900;;FOTOS2;;Carpa 4 Personas Autoarmable Automatica;Dimensiones: 2m x 2m x 1,30m;Peso 3Kg;Materiales: Poliester
ML-TENT5-N;;Tiempo Libre;37900;;FOTOS2;;Carpa Playera;Dimensiones: 2,2m x 1,2m x 1,20m;;
ML-WAD40-V;;Tiempo Libre;44900;;FOTOS2;;Wader Traje de Pesca con Botas;Talle: 40;Material: PVC;
ML-WAD41-V;;Tiempo Libre;44900;;FOTOS2;;Wader Traje de Pesca con Botas;Talle: 41;Material: PVC;
ML-WAD42-V;;Tiempo Libre;44900;;FOTOS2;;Wader Traje de Pesca con Botas;Talle: 42;Material: PVC;
ML-WAD43-V;;Tiempo Libre;44900;;FOTOS2;;Wader Traje de Pesca con Botas;Talle: 43;Material: PVC;
ML-WAD44-V;;Tiempo Libre;44900;;FOTOS2;;Wader Traje de Pesca con Botas;Talle: 44;Material: PVC;
ML-WAD45-V;;Tiempo Libre;44900;;FOTOS2;;Wader Traje de Pesca con Botas;Talle: 45;Material: PVC;
ML-WAD46-V;;Tiempo Libre;44900;;FOTOS2;;Wader Traje de Pesca con Botas;Talle: 46;Material: PVC;
ML-WAD47-V;;Tiempo Libre;44900;;FOTOS2;;Wader Traje de Pesca con Botas;Talle: 47;Material: PVC;
